,name,district,lat,lng
0,اراج,1,35.794309337615026,51.48757607936931
1,ازگل,1,35.78878551247738,51.5158194610263
2,امام زاده قاسم,1,35.81290709362546,51.43946966832034
3,اوین,1,35.79951517748166,51.39383591214459
4,باغ فردوس,1,35.79495480217319,51.42357591115577
5,تجریش,1,35.79216875901684,51.43064601133605
6,جماران,1,35.81913374686065,51.459670758964485
7,جوزستان,1,35.808609118228325,51.454250871101564
8,چیذر,1,35.798420949504305,51.455546748197946
9,حصار بوعلی,1,35.80537594048429,51.46771468188276
10,حکمت-دزاشیب,1,35.80083042035153,51.44279360200769
11,دارآباد,1,35.81110718733487,51.49063976883854
12,دربند,1,35.81459139799566,51.42542665017908
13,درکه,1,35.80292609316913,51.385936659549984
14,رستم اباد,1,35.79603394234656,51.471854606977246
15,زعفرانیه,1,35.80900105242035,51.41461791220225
16,سوهانک,1,35.80182577278727,51.533847164168066
17,شهرک گلها,1,35.80465466968404,51.49798647500474
18,شهرک محلاتی,1,35.805017548825155,51.51630208346983
19,شهرک نفت,1,35.809219341518954,51.50550939608563
20,قیطریه,1,35.7905011056507,51.44355108905201
21,کاشانک,1,35.80995641841892,51.47938916135917
22,گلاب دره,1,35.819945388087866,51.44046470149364
23,محمودیه,1,35.795857448865235,51.41271980374878
24,نیاوران,1,35.81803558532826,51.469467964366885
25,ولنجک,1,35.80562166636458,51.40113727724625
26,اسلام آباد (شهرک نیایش),2,35.76874642806923,51.38723957926055
27,ایوانک,2,35.75682669210656,51.3543058451494
28,آسمان,2,35.77775193392562,51.349250450619174
29,آلستوم,2,35.7247335033027,51.35777730110245
30,پردیسان,2,35.745043810717306,51.3559818863709
31,پرواز شرقی,2,35.790769733841884,51.35120138921224
32,پونک,2,35.75949239117903,51.33873101326139
33,تهران ویلا,2,35.72264201122097,51.36653409091079
34,توحید,2,35.70476214076676,51.37202257181385
35,تیموری,2,35.70621682578227,51.35157736148536
36,چوب تراش,2,35.715202986680715,51.343719959594736
37,خرم رودی,2,35.7321716186123,51.34498720162592
38,درختی,2,35.768759588422334,51.35354088542578
39,دریا,2,35.77376515339458,51.37088586440231
40,زنجان,2,35.70333874218216,51.357450516136694
41,سعادت آباد,2,35.78603583919233,51.37824062000207
42,شادمهر,2,35.70906963302302,51.36350802910884
43,شهرآرا,2,35.71829553313643,51.37397870441938
44,شهرک آزمایش,2,35.73403064802633,51.35856919678947
45,شهرک بوعلی,2,35.79446097114125,51.36680361921639
46,شهرک غرب,2,35.75861377065278,51.373908308474014
47,شهرک مخابرات,2,35.79367120779558,51.35836536843237
48,شهرک هما,2,35.73967015529198,51.33759744402387
49,صادقیه,2,35.72205096158328,51.342349195139185
50,طرشت,2,35.70665630367224,51.34292018852987
51,فرحزاد,2,35.78805601277461,51.343602087717485
52,کوهسار,2,35.79746534558102,51.37837938970887
53,کوی نصر,2,35.738627282646696,51.37736573693134
54,مدیریت,2,35.77614674860576,51.38235279241805
55,همایون شهر,2,35.71609596861023,51.356297099668964
56,ونک,3,35.76457614233618,51.391967654699016
57,آرارات,3,35.77491118199341,51.400018421964326
58,کاووسیه,3,35.762200839321146,51.41214147657323
59,امانیه,3,35.78059979994522,51.415783751328966
60,اراضی عباس آباد,3,35.74988079026399,51.429104697654985
61,سیدخندان,3,35.746627275739165,51.443092078769034
62,داوودیه,3,35.75973870096483,51.435654588925495
63,حسن اباد- زرگنده,3,35.77197000184265,51.432891234894925
64,قبا,3,35.76132265796697,51.44906727195956
65,قلهک,3,35.773827942256865,51.44458868897197
66,درب دوم,3,35.781107729590474,51.441761236527405
67,دروس,3,35.77367803190967,51.45641583886176
68,رستم آباد- اختیاریه,3,35.786381767254326,51.460514740329245
69,مهران,4,35.74865934932096,51.45695114617706
70,پاسداران- ضرابخانه,4,35.77268137636419,51.46810192750489
71,حسین آباد- مبارک آباد,4,35.77026795561679,51.47922944243034
72,کاظم آباد,4,35.75010963277921,51.46894485187082
73,لویزان شیان,4,35.77666363062891,51.500090106754726
74,شمیران نو,4,35.758376715321475,51.49885533264796
75,کالاد,4,35.74081292968399,51.4878793481554
76,شمس آباد,4,35.747362065430146,51.478134092843746
77,قاسم آباد,4,35.767323233225476,51.52358860100238
78,اوقاف,4,35.75000602395039,51.51202032255701
79,علم و صنعت,4,35.741738429052376,51.50948806396381
80,نارمک,4,35.736376656472096,51.50461923791714
81,قنات کوثر,4,35.762957443959316,51.533668617692044
82,مجید آباد,4,35.76159491979212,51.54486359902291
83,کوهسار,4,35.755368165910525,51.56351904094975
84,تهرانپارس شرقی,4,35.740961154614475,51.54711196494053
85,جوادیه,4,35.73193637283565,51.548793773364615
86,گلشن,4,35.74214311888641,51.5628488393063
87,حکیمیه,4,35.73443496638572,51.57856215257475
88,تهرانپارس غربی,4,35.742476653904845,51.53105688397672
89,آپادانا,5,35.70679519820408,51.32858144956127
90,بیمه,5,35.705442541301025,51.31851587154569
91,اکباتان,5,35.70822198091541,51.304049921255505
92,فردوس,5,35.7209058031324,51.32137629223686
93,ابوذر,5,35.730822269434334,51.33051696130718
94,مهران,5,35.732564597186496,51.32029129537425
95,باغ فیض,5,35.74473148024689,51.322490506717074
96,پونک جنوبی,5,35.75708912834175,51.32527408384784
97,پونک شمالی,5,35.765923663781905,51.32844132176594
98,المهدی,5,35.77404683293053,51.32829427042097
99,سازمان برنامه شمالی,5,35.73661834591632,51.301072770583666
100,شهرک پرواز,5,35.72483693574549,51.30630780819569
101,سازمان جنوبی,5,35.72632741927653,51.29979984380982
102,شاهین شمالی,5,35.76169263157715,51.314704090012896
103,جنت اباد مرکز,5,35.75896684342569,51.303802495487446
104,جنت آباد شمالی,5,35.77211118744431,51.30835296688343
105,ارم,5,35.729066601770526,51.28662994927778
106,سازما آب,5,35.739592188338605,51.28994156864582
107,شهرزیبا,5,35.748655941079186,51.29186993276809
108,شهران جنوبی,5,35.75862537449434,51.29078104466156
109,اندیشه,5,35.747132746795764,51.27746522354209
110,کن,5,35.75834949911729,51.27835831379349
111,بهاران,5,35.76879166228582,51.27103007915906
112,شهران شمالی,5,35.77131374379687,51.2897657635813
113,شهرک نفت,5,35.78894022345802,51.338257010206156
114,شهرک کوهسار,5,35.781838925915956,51.332826639768086
115,مرادآباد,5,35.7833737411076,51.326019513083644
116,حصارک,5,35.7826124190804,51.31089846001996
117,جنت آباد جنوبی,5,35.74584210268265,51.30588922989602
118,ایرانشهر,6,35.708585671793884,51.4219454656182
119,آرزانتین-ساعی,6,35.73484929298279,51.415832965188315
120,بهجت آباد,6,35.719040196343755,51.41212837559721
121,پارک لاله,6,35.713637475224154,51.3991217384876
122,دانشگاه تهران,6,35.70539891993573,51.39901330702847
123,شریعتی,6,35.71765961072015,51.38331309214252
124,سنایی,6,35.7215229046,51.4208575597424
125,شیراز,6,35.74719945744466,51.40330144334484
126,فاطمی,6,35.71994207911912,51.39457659460514
127,قزل قلعه,6,35.72866923335717,51.39444631447013
128,کشاورز غربی,6,35.709396877460875,51.38426428399729
129,گاندی,6,35.74590073809345,51.4161284500063
130,میدان جهاد,6,35.72375043634744,51.40573670879944
131,میدان ولیعصر,6,35.707319593850556,51.41249580467425
132,نصرت,6,35.70355864098158,51.384732222247344
133,یوسف آباد,6,35.734881145333084,51.405726555331604
134,نیلوفر- شهید قندی,7,35.73617437022334,51.43409369495973
135,عباس آباد- اندیشه,7,35.72768639596822,51.4346047183677
136,باغ صبا- سهروردی,7,35.720908736039284,51.434753154703934
137,امجدیه- خاقانی,7,35.71131042680632,51.428270900193034
138,بهار,7,35.710728460172945,51.433298003114615
139,خواجه نصیر- حقوقی,7,35.703961854470535,51.43783739830511
140,کاج,7,35.714194112861186,51.442099276290904
141,خواجه نظام غربی,7,35.714739804355965,51.447172369495185
142,خواجه نظام شرقی,7,35.71253637721073,51.44915975049612
143,گرگان,7,35.707981885932654,51.44916827850544
144,نظام آباد,7,35.705876363846464,51.45282268068332
145,شارق غربی,7,35.709234976426444,51.45954240504029
146,شارق شرقی,7,35.71213615556088,51.464889830518594
147,دهقان,7,35.71414521674039,51.45631364557902
148,ارامنه جنوبی,7,35.71842756280795,51.455364178824816
149,ارامنه شمالی,7,35.72116863241447,51.45794571341045
150,قصر,7,35.72627828638143,51.44776713912731
151,حشمتیه,7,35.72618955745709,51.45517937033739
152,دبستان- مجیدیه,7,35.73606222997329,51.45446701554235
153,مجیدیه,8,35.73565660567059,51.466518679361606
154,کرمان,8,35.732690683819015,51.47397241224443
155,فدک,8,35.727837555875304,51.481265961328674
156,هفت حوض,8,35.72842641659712,51.48995472437611
157,مدائن,8,35.727559045393946,51.497095812981684
158,دردشت,8,35.72882505826697,51.506815948751495
159,تهرانپارس,8,35.726317679203,51.520694120409885
160,لشگر غربی,8,35.72463213626316,51.463261791183456
161,تسحیلات,8,35.71938711495512,51.473019719581025
162,وحیدیه,8,35.71439894842079,51.470850474484976
163,زرکش,8,35.71601051224763,51.480271969450975
164,نارمک جنوبی,8,35.71772857720664,51.49063369786943
165,لشگر شرقی,8,35.727719031993786,51.46556459410113
166,دکترهوشیار,9,35.69427379786525,51.35098298780988
167,استادمعین,9,35.69588803350781,51.34186554579333
168,شهید دست غیب,9,35.68669587986537,51.34811103628503
169,امام زاده عبداله,9,35.67892767023651,51.34919857224388
170,شمشیری,9,35.670553750815785,51.342372011733026
171,مهرابادجنوبی,9,35.67706640296451,51.33807133499727
172,سرآسیاب مهرآباد,9,35.67189840735995,51.32954719060178
173,عمار,9,35.67304023806609,51.31623273755228
174,فرودگاه,9,35.68851185150193,51.314761826130336
175,فتح,9,35.678800501648574,51.2944590501335
176,سلسبیل شمالی,10,35.69570212058862,51.3737913202682
177,سلسبیل جنوبی,10,35.68599108838837,51.37515407502489
178,بریانک,10,35.67514065846265,51.377444225037436
179,هفت چنار,10,35.67607507156952,51.37009438531149
180,سلیمانی تیموری,10,35.67224868415065,51.36374317203344
181,شبیری-جی,10,35.675291696481764,51.356660930616535
182,کارون جنوبی,10,35.68529061777102,51.36747773813177
183,کارون شمالی,10,35.694734892128416,51.366396592616645
184,زنجان جنوبی,10,35.694798244731395,51.35950109546246
185,هاشمی,10,35.684680750127356,51.35937435756359
186,جمهوری,11,35.69726962042299,51.38201326651438
187,جمالزاده-حشمت دوله,11,35.69730199192068,51.38848570197211
188,فلسطین-انقلاب,11,35.69840663702439,51.40246298891869
189,شیخ هادی,11,35.69092711528128,51.40724659598336
190,اسکندری,11,35.68886065454452,51.38149096428836
191,میدان حر,11,35.68710589724872,51.38817775530008
192,آذربایجان,11,35.69187305153414,51.39796482432254
193,منیریه,11,35.68413130582807,51.40161761529737
194,خرمشهر,11,35.67637916543144,51.38334699666965
195,مخصوص,11,35.67816692493756,51.38965583010843
196,امیریه,11,35.67829670520046,51.400809872609514
197,هلال احمر,11,35.67065072655252,51.38951545215566
198,قلمستان-برادران جوادیان,11,35.671699088234575,51.397637331371236
199,فروزش-امیربهادر,11,35.67115806151606,51.4035476454367
200,عباسی,11,35.664226647899305,51.38520313486552
201,انبار نفت,11,35.66282684579077,51.3916214982216
202,مختاری,11,35.66497115321553,51.401312707526046
203,راه آهن,11,35.660764346863026,51.400361331224886
204,فردوسی,12,35.6936449084148,51.41825493209691
205,بهارستان,12,35.694502201656114,51.429896200274534
206,دروازه شمیران,12,35.69644088705847,51.442126228709
207,ایران,12,35.6876476156758,51.43981846350398
208,سنگلج,12,35.67656414719158,51.412629778862595
209,ارگ پامنار,12,35.68141509040759,51.42478111222431
210,امامزاده یحیی,12,35.67946932084374,51.4344636261431
211,آبشار,12,35.67872417975567,51.442115921895514
212,تختی,12,35.662887709100275,51.41037286264234
213,شهید هرندی,12,35.664208486851074,51.42468879176968
214,کوثر,12,35.66330158132365,51.43861940818413
215,قیام,12,35.67010621196191,51.44165434551761
216,شهید اسدی,13,35.70145811199748,51.455316507090224
217,صفا,13,35.69455943886135,51.45216120130881
218,زاهد گیلانی,13,35.69420006391181,51.460247629167746
219,نیروهوایی,13,35.70101068127184,51.47433916821316
220,قاسم آباد,13,35.70750257847232,51.47308120666651
221,دهقان,13,35.69592808205044,51.47675210682429
222,پیروزی,13,35.695418537978206,51.4864588631597
223,امامت,13,35.71012936109787,51.48983918533908
224,شورا,13,35.71016614307192,51.496415257494355
225,حافظیه,13,35.70118773038119,51.49560105166306
226,آشتیانی,13,35.71603541734631,51.50618706037568
227,زینبیه,13,35.70859259590584,51.50739740422188
228,سرخه حصار,13,35.720850493071154,51.552273633152794
229,شکوفه,14,35.6838256915721,51.448668921417195
230,جابری,14,35.683546851243314,51.45218192121859
231,چهارصد دستگاه,14,35.68735205133866,51.45710943121945
232,نیکام,14,35.682425258659755,51.45830561508699
233,دژکام,14,35.679128291073596,51.45256021603232
234,مینای شمالی,14,35.67546097064953,51.45234818210075
235,آهنگران,14,35.67831965815266,51.46050354186355
236,شاهین,14,35.67388816212879,51.45877477624249
237,بروجردی,14,35.68812457678713,51.4638761661104
238,سرآسیاب دولاب,14,35.68393469497756,51.46653391763357
239,شیوا,14,35.680120490183015,51.46923781968535
240,شکیب,14,35.67402831927064,51.46799135783039
241,صددستگاه,14,35.68901855898733,51.472095398087994
242,فرزانه,14,35.68495597366278,51.47552906353691
243,نبی اکرم,14,35.68060744085687,51.477091557121014
244,قیام,14,35.67325051992066,51.477015802110074
245,پرستار,14,35.69020871716488,51.48654337731751
246,سیزده آبان,14,35.68559382719242,51.485481072865966
247,ابوذز,14,35.680057882274994,51.48605861948685
248,تاکسیرانی,14,35.672027994245234,51.48730681049923
249,قصر فیروزه,14,35.67625196136088,51.50206865045728
250,مینای جنوبی,14,35.67027805974616,51.45171087644625
251,خاوران,14,35.66539737263863,51.453255245032075
252,دولاب,14,35.66613636581907,51.46100199129737
253,اردیبهشت,15,35.65137188035763,51.50366498003093
254,افسریه,15,35.65568983935858,51.49409136596504
255,افسریه جنوبی,15,35.64490686157001,51.48989976975903
256,اسلام آباد والفجر,15,35.63972745974569,51.49776713036291
257,ابوذر,15,35.65069689706142,51.47717136566048
258,مسعودیه,15,35.62812672959118,51.49892901704134
259,اتابک,15,35.64963019027768,51.46263788880992
260,هاشم آباد,15,35.64380297236338,51.471457926175034
261,مینایی,15,35.652117307314356,51.45679489894399
262,طیب,15,35.66020714258284,51.450281039736964
263,ولیعصر-بی سیم,15,35.653633513159555,51.45007640622166
264,شوش,15,35.65820471626394,51.44027832872641
265,مظاهری,15,35.6545089025348,51.43752266226487
266,شهید مطهری,15,35.648461101396414,51.4427065095926
267,شهرک رضویه,15,35.61211321067677,51.49720976973507
268,مشیریه,15,35.62515218858717,51.4779739346599
269,بروجردی دهقان,15,35.637752383003495,51.46766786922815
270,کیانشهر جنوبی,15,35.63370555516035,51.45171754575891
271,کیانشهر شمالی,15,35.64050496728185,51.44654097056722
272,باغ آذری,16,35.652808056430636,51.423394278114856
273,جوادیه,16,35.653746283675176,51.39824248304267
274,شهرک بعثت,16,35.637767411630136,51.43045394930828
275,خزانه,16,35.640105822495464,51.420738936905515
276,علی آباد شمالی,16,35.63932980505662,51.41365538691897
277,نازی اباد,16,35.6421834879341,51.4027571860112
278,علی اباد جنوبی,16,35.62691895769169,51.425215972935355
279,تختی,16,35.625170521501005,51.41551783773485
280,یاخچی آباد,16,35.62638330534375,51.405340508293854
281,بلورسازی,17,35.66316360616968,51.37897532689877
282,باغ خزانه,17,35.66401669912224,51.37075510143367
283,امام زاده حسن,17,35.66539064275296,51.360845893259295
284,آذری,17,35.666626214731636,51.35092320063796
285,مقدم,17,35.65678607036773,51.37375468697475
286,ابوذر شرقی,17,35.65923167962967,51.36611028285996
287,ابوذر غربی,17,35.660570265258585,51.358542528026334
288,گلچین,17,35.653989290378725,51.36716362845916
289,جلیلی,17,35.6507093684263,51.362002448588996
290,سجاد,17,35.65488816361214,51.357601920770975
291,یافت آباد,17,35.65801903041325,51.35015101493316
292,وصفنارد,17,35.64687991003495,51.355104961830534
293,زمزم,17,35.64738797651288,51.36766119518002
294,زهتابی,17,35.641539558280996,51.35949275131832
295,تولید دارو,18,35.66365902257485,51.33957705329412
296,شهرک امام خمینی,18,35.662769673111576,51.3140223819607
297,هفده شهریور,18,35.66928337281944,51.29399128890841
298,شمس آباد,18,35.65704604214223,51.306834306157924
299,شادآباد,18,35.6566199421689,51.29552052184392
300,خلیج فارس,18,35.65610176887484,51.27292537263168
301,خلیج فارس شمالی,18,35.67091745512375,51.25454196114546
302,بهداشت,18,35.65712289596645,51.337905760332795
303,ولیعصر شمالی,18,35.650814778171245,51.34002411346247
304,ولیعصر جنوبی,18,35.64361834628869,51.3448699481178
305,صادقیه,18,35.637044373601746,51.35001839957314
306,شهیدرجایی,18,35.633947031140735,51.32809109238791
307,صاحب الزمان,18,35.64849290597477,51.32223157590192
308,یافت آباد جنوبی,18,35.641249261437395,51.303702871789014
309,فردوس-18,18,35.6631498699056,51.32629257896426
310,یافت آباد شمالی,18,35.648479690201995,51.29917168393187
311,بهمنیار,19,35.62521547886327,51.39817239278656
312,خانی آباد جنوبی,19,35.61891075815692,51.39458450247279
313,شریعتی شمالی,19,35.637994197823915,51.37313798512669
314,اسفندیاریو بستان,19,35.63057827504333,51.38377415982277
315,شهیدکاظمی,19,35.61730362584002,51.35686346894901
316,نعمت آباد,19,35.63018056569869,51.35318399262121
317,اسماعیل آباد,19,35.61845905776898,51.336362632439204
318,دولت آباد,20,35.620926278423376,51.45287717604597
319,شهادت,20,35.61325609848963,51.447161560303
320,صفائیه چشمه علی,20,35.605123657276856,51.44985873383944
321,منصوریه و منگل,20,35.609219566381284,51.4375697152956
322,ابن باویه و ظهیر آباد,20,35.59692920016053,51.44921130086513
323,شهید غیوری,20,35.60281718719587,51.44122854354348
324,اقدسیه,20,35.59366073765633,51.443597302303544
325,جوانمرد قصاب,20,35.61468696584932,51.426908273219894
326,استخر,20,35.58713409565857,51.4449439404054
327,سرتخت,20,35.58908202639836,51.43254793114431
328,نفر آباد و هاشم آباد,20,35.579943311783275,51.43574733622035
329,ولی آباد,20,35.58472186362735,51.4285959101756
330,فیروزآبادی,20,35.59490749535051,51.43227969244209
331,دیلمان,20,35.60269370615728,51.4326542255159
332,حمزه آباد,20,35.59698471547689,51.42452447777967
333,سیزده آبان,20,35.604623785750505,51.412613330989764
334,تهرانسر مرکزی,21,35.69627854005921,51.25689858090051
335,شهرک پاسداران,21,35.69513955662448,51.26230738200582
336,تهرانسر شمالی,21,35.70245081061734,51.26167836635655
337,تهرانسر شرقی,21,35.689127439036774,51.26855243890729
338,باشگاه نفت,21,35.701835863117864,51.25297305819244
339,تهرانسر غربی,21,35.69242813804143,51.24898314656204
340,شهرک دریا,21,35.68554876423063,51.23726843702988
341,شهرک فرهنگیان,21,35.7097593156095,51.28409636748758
342,شهرک آزادی,21,35.70969600076896,51.26708544384375
343,شهرک استقلال,21,35.70290760465632,51.22852678371945
344,شهرک دانشگاه تهران,21,35.7115264288637,51.19820153012427
345,چیتگرشمالی,21,35.724430161584735,51.18636832648928
346,شهرک شهرداری,21,35.725766453502956,51.18154158734948
347,ویلاشهر,21,35.72774993467523,51.17482824354812
348,شهرک غزالی,21,35.73194691329829,51.16031207121425
349,وردآورد,21,35.73798509952724,51.12987614444789
350,چیتگر,22,35.71795664032223,51.16025263323054
351,دهکده المپیک,22,35.76386134387031,51.253980008686824
352,امید دژبان,22,35.76020009384703,51.2238628125431
353,زیبادشت بالا,22,35.75231589963938,51.26087281913258
354,گلستان شرقی,22,35.75405363624496,51.24720123670577
355,شهرک صدرا,22,35.72895341531984,51.25989783131002
356,گلستان غربی,22,35.75261799333134,51.22740895264342
357,دریاچه,22,35.73600409207139,51.2159057097321
358,شهرک شهید باقری,22,35.76091874569845,51.20202042474633
359,آزادشهر-پیکان شهر,22,35.749334778567096,51.17628920524949
360,شهرک دانشگاه صنعتی شریف,22,35.749567705955144,51.13007678903938
361,علائین,20,35.58232105502623,51.45542143681351
362,تقی آباد,20,35.579508614281885,51.463227955472625
363,عباس آباد,20,35.570707320735245,51.46828429222534
364,بهشتی,20,35.58026935089372,51.420343949566
365, خانی آباد شمالی,19,35.6425114082633,51.38330112287586
366, شریعتی جنوبی,19,35.62096955154962,51.37750449833804
367,شکوفه,19,35.626043737138716,51.36770757528271
368,عبدل آباد,19,35.63508648638736,51.36473604059867
369,دولتخواه جنوبی,19,35.61520368385329,51.34690858117592
370,دولتخواه شمالی,19,35.627168629115594,51.34373580708865
371,شهدای گمنام,14,35.66193989804721,51.484500308156726
372,حسین آباد دولاب (آهنگ غربی),14,35.66417155809576,51.47146899831472
373,سیروس,12,35.67231699127956,51.43331247954805
374,بازار,12,35.6727565909872,51.42258090895607
375,والفجر,6,35.74638964664006,51.39159972039678
376,امیرآباد,6,35.73562116244411,51.39009604033676
